REF_ID,PRED_ID,DATA_AGGR_CODE,PRED_SCI_NAME,TOT_PRED_STOM_EXAM,TOT_W_FD,PCT_W_FD,TOT_WO_FD,PCT_WO_FD,PRED_DEN,SEX,SEX_RATIO,LIFE_HIST_STAGE,LEN_TYPE,MIN_LEN,MAX_LEN,MN_LEN,MIN_AGE,MAX_AGE,MN_AGE,MIN_WT,MAX_WT,MN_WT,TOT_WT,BIOMASS_DEN,STOM_PCT_FULL,STOM_COND_INDEX,TOT_FD_BIOMASS,TOT_FD_VOL,TOT_FD_CAT,TOT_FD_ CAT_W_CNT_DATA,TOT_FD_ITEMS_IN_CAT_W_CNT_DATA,PREDATOR_NOTES,POP _TOT_PRED,POP_PRED_DEN,POP_SEX_RATIO,POP_LIFE_HIST_STAGE,POP_LEN_TYPE,POP_MIN_LEN,POP_MAX_LEN,POP_MN_LEN,POP_MIN_AGE,POP_MAX_AGE,POP_MN_AGE,POP_MIN_WT,POP_MAX_WT,POP_MN_WT,POP_TOT_WT,POP_BIOMASS_DEN
10k,Scav.1,CAG,Scomberomorus cavalla,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11r,Scav.1,CAG,Scomberomorus cavalla,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11v,Scav.1,CAG,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,600,1320,960,NA,NA,NA,1814.37,17690.10,9752.24,NA,NA,NA,NA,NA,NA,1,0,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12r,Cchr.1,CAG,Chloroscombrus chrysurus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14a,Cchr.1,CAG,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.1,SIZSEA,Chloroscombrus chrysurus,28,3,0.1000,25,0.9000,NA,NA,NA,Lprf,SL,1.60,2.90,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.10,SIZSEA,Chloroscombrus chrysurus,23,6,0.2600,17,0.7400,NA,NA,NA,Lprf,SL,1.76,2.91,2.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.11,SIZSEA,Chloroscombrus chrysurus,23,18,0.7800,5,0.2200,NA,NA,NA,Lf,SL,3.09,4.00,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.12,SIZSEA,Chloroscombrus chrysurus,20,17,0.8500,3,0.1500,NA,NA,NA,Lpof,SL,4.03,7.94,5.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.2,SIZSEA,Chloroscombrus chrysurus,17,8,0.4700,9,0.5300,NA,NA,NA,Lf,SL,3.04,3.96,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.3,SIZSEA,Chloroscombrus chrysurus,9,4,0.4400,5,0.5600,NA,NA,NA,Lpof,SL,4.12,6.64,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.4,SIZSEA,Chloroscombrus chrysurus,59,21,0.3600,38,0.6400,NA,NA,NA,Lprf,SL,1.30,3.00,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.5,SIZSEA,Chloroscombrus chrysurus,22,20,0.9100,2,0.0900,NA,NA,NA,Lf,SL,3.10,4.00,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.6,SIZSEA,Chloroscombrus chrysurus,44,42,0.9500,2,0.0500,NA,NA,NA,Lpof,SL,4.10,8.07,6.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.7,SIZSEA,Chloroscombrus chrysurus,17,2,0.1200,15,0.8800,NA,NA,NA,Lprf,SL,1.60,2.87,2.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.8,SIZSEA,Chloroscombrus chrysurus,4,2,0.5000,2,0.5000,NA,NA,NA,Lf,SL,3.02,3.82,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.9,SIZSEA,Chloroscombrus chrysurus,31,18,0.5800,13,0.4200,NA,NA,NA,Lpof,SL,4.03,6.90,5.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.1,CAG,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.2,SEATIM,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.3,SEATIM,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.4,SEATIM,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.5,SEATIM,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19l,Saur.1,CAG,Clupanodon pseudo-hispanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1p,Cchr.1,SEA,Chloroscombrus chrysurus,16,16,1.0000,0,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1p,Cchr.2,SEA,Chloroscombrus chrysurus,1,1,1.0000,0,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Saur.1,CAG,Sardinella anchovia,7,1,0.1400,6,0.8600,NA,NA,NA,A,SL,173,186,177.43,NA,NA,NA,NA,NA,91.46,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Saur.1,CAG,Sardinella anchovia,7,1,0.1400,6,0.8600,NA,NA,NA,A,SL,173,186,177.43,NA,NA,NA,NA,NA,91.46,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Dpun.1,CAG,Decapterus punctatus,20,3,0.1500,17,0.8500,NA,NA,NA,A,SL,133,170,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Dpun.1,CAG,Decapterus punctatus,20,3,0.1500,17,0.8500,NA,NA,NA,A,SL,133,170,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25s,Cchr.1,CAG,Chloroscombrus chrysurus,1,1,1.0000,0,0.0000,NA,NA,NA,A,SL,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2p,Cchr.1,CAG,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,0.00139,NA,NA,NA,SL,35,41,38,NA,NA,NA,NA,NA,NA,NA,0.00097,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30l,Dpun.1,CAG,Decapterus punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40c,Scav.1,CAG,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,A,TL,860,1040,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.1,RAW,Scomberomorus cavalla,1,1,1.0000,0,0.0000,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,7,NA,1.33,NA,NA,4535.9237,9071.8474,6803.88555,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.2,RAW,Scomberomorus cavalla,1,1,1.0000,0,0.0000,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,7,NA,1.33,NA,NA,4535.9237,9071.8474,6803.88555,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.3,RAW,Scomberomorus cavalla,1,1,1.0000,0,0.0000,NA,NA,NA,A,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46m,Scav.1,CAG,Scomberomorus cavalla,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.1,SEA,Chloroscombrus chrysurus,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,140,115,NA,NA,NA,NA,NA,NA,1740,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.2,SEA,Chloroscombrus chrysurus,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.2,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.3,SIZ,Chloroscombrus chrysurus,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.4,SIZ,Chloroscombrus chrysurus,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.5,SIZ,Chloroscombrus chrysurus,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.6,SIZ,Chloroscombrus chrysurus,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.7,SIZ,Chloroscombrus chrysurus,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5k,Scav.1,CAG,Scomberomorus cavalla,1881,1341,0.7130,540,0.2870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.1,SEA,Scomberomorus cavalla,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449.2,NA,NA,NA,NA,NA,2,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.2,SEA,Scomberomorus cavalla,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.2,NA,NA,NA,NA,NA,3,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.3,SEA,Scomberomorus cavalla,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,2,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.4,SEA,Scomberomorus cavalla,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.5,SEA,Scomberomorus cavalla,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518.6,NA,NA,NA,NA,NA,2,0,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.1,LOC,Scomberomorus cavalla,1472,518,0.3519,954,0.6481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.2,LOC,Scomberomorus cavalla,3778,2784,0.7369,994,0.2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.3,LOC,Scomberomorus cavalla,1007,707,0.7021,300,0.2979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.4,LOC,Scomberomorus cavalla,1508,1052,0.6976,456,0.3024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6v,Saur.1,CAG,Sardinella anchovia,95,NA,NA,NA,NA,11.61,NA,NA,J,SL,NA,NA,32.32,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6y,Saur.1,SEA,Sardinella aurita,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6y,Saur.2,SEA,Sardinella aurita,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8f,Scav.1,SIZ,Scomberomorus cavalla,95,90,0.9474,5,0.0526,NA,NA,NA,L/PL,SL,2.9,13.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8f,Scav.2,SIZ,Scomberomorus cavalla,489,178,0.3640,311,0.6360,NA,NA,NA,J,FL,9,42,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.63,5,5,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.1,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.012566,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.2,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.028931,6,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.3,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.002513,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.4,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.053337,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.5,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.004350,3,3,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.6,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,FL,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.083791,6,5,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.7,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,F,NA,NA,SL,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.038907,9,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.8,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,SL,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.000196,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.9,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,F,NA,NA,SL,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.008112,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.10,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,M,NA,NA,SL,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.012723,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.11,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,M,NA,NA,SL,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.001414,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.12,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,F,NA,NA,SL,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.003518,3,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.13,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,SL,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.000039,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.14,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,SL,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.010503,2,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.15,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,NA,NA,NA,SL,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.024039,5,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33f,Cchr.16,RAW,Chloroscombrus chryurus,1,1,1,0,0,NA,M,NA,NA,SL,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.185205,2,1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
