interaction_type_label,interaction_type_id
preysOn,http://purl.obolibrary.org/obo/RO_0002439
parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
hasHost,http://purl.obolibrary.org/obo/RO_0002454
interactsWith,http://purl.obolibrary.org/obo/RO_0002437
trophicallyInteractsWith,http://purl.obolibrary.org/obo/RO_0002438
hostOf,http://purl.obolibrary.org/obo/RO_0002453
pollinates,http://purl.obolibrary.org/obo/RO_0002455
eats,http://purl.obolibrary.org/obo/RO_0002470
symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
preyedUponBy,http://purl.obolibrary.org/obo/RO_0002458
pollinatedBy,http://purl.obolibrary.org/obo/RO_0002456
eatenBy,http://purl.obolibrary.org/obo/RO_0002471
hasParasite,http://purl.obolibrary.org/obo/RO_0002445
hasPathogen,http://purl.obolibrary.org/obo/RO_0002557
pathogenOf,http://purl.obolibrary.org/obo/RO_0002556
hasVector,http://purl.obolibrary.org/obo/RO_0002460
vectorOf,http://purl.obolibrary.org/obo/RO_0002459
visitedBy,http://purl.obolibrary.org/obo/RO_0002619
visits,http://purl.obolibrary.org/obo/RO_0002618
flowersVisitedBy,http://purl.obolibrary.org/obo/RO_0002623
visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
createsHabitatFor,http://purl.obolibrary.org/obo/RO_0008505
hasHabitat,http://purl.obolibrary.org/obo/RO_0002303
endoparasiteOf,http://purl.obolibrary.org/obo/RO_0002634
hasEndoparasite,http://purl.obolibrary.org/obo/RO_0002635
hyperparasiteOf,http://purl.obolibrary.org/obo/RO_0002553
hasHyperparasite,http://purl.obolibrary.org/obo/RO_0002554
ectoparasiteOf,http://purl.obolibrary.org/obo/RO_0002632
hasEctoparasite,http://purl.obolibrary.org/obo/RO_0002633
kleptoparasiteOf,http://purl.obolibrary.org/obo/RO_0008503
hasKleptoparasite,http://purl.obolibrary.org/obo/RO_0008504
parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
hasParasitoid,http://purl.obolibrary.org/obo/RO_0002209
killedBy,http://purl.obolibrary.org/obo/RO_0002627
kills,http://purl.obolibrary.org/obo/RO_0002626
epiphyteOf,http://purl.obolibrary.org/obo/RO_0008501
hasEpiphyte,http://purl.obolibrary.org/obo/RO_0008502
laysEggsOn,http://purl.obolibrary.org/obo/RO_0008507
hasEggsLayedOnBy,http://purl.obolibrary.org/obo/RO_0008508
laysEggsIn,http://purl.obolibrary.org/obo/RO_0002624
hasEggsLayedInBy,http://purl.obolibrary.org/obo/RO_0002625
coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
commensalistOf,http://purl.obolibrary.org/obo/RO_0002441
mutualistOf,http://purl.obolibrary.org/obo/RO_0002442
ecologicallyRelatedTo,http://purl.obolibrary.org/obo/RO_0002321
coRoostsWith,http://purl.obolibrary.org/obo/RO_0002801
hasRoost,http://purl.obolibrary.org/obo/RO_0008509
acquiresNutrientsFrom,http://purl.obolibrary.org/obo/RO_0002457
providesNutrientsFor,http://purl.obolibrary.org/obo/RO_0002469
hemiparasiteOf,http://purl.obolibrary.org/obo/RO_0002237
rootparasiteOf,http://purl.obolibrary.org/obo/RO_0002236
allelopathOf,http://purl.obolibrary.org/obo/RO_0002555